tripletid,file_X,onset_X,offset_X,phoneitem_id_X,phone1_X,phone3_X,talker_X,sex_X,dialect_X,phone_X,distance_OTH,dialect_OTH,file_OTH,offset_OTH,onset_OTH,phone1_OTH,phone3_OTH,phoneitem_id_OTH,sex_OTH,talker_OTH,phone_OTH,distance_TGT,dialect_TGT,file_TGT,offset_TGT,onset_TGT,phone1_TGT,phone3_TGT,phoneitem_id_TGT,sex_TGT,talker_TGT,phone_TGT
t00000050941,TEST/DR5/MBPM0/SX47,0.115,0.3816,i30731,m,m,MBPM0,M,DR5,aa,759.660975718445,DR6,TRAIN/DR6/FHXS0/SX355,2.4421,2.2036,m,m,i161117,F,FHXS0,ae,599.584226632512,DR6,TRAIN/DR6/FHXS0/SI2335,2.3586,2.0689,m,m,i161067,F,FHXS0,aa
t00000105620,TRAIN/DR7/MKDB0/SX62,0.3275,0.5511,i140961,k,n,MKDB0,M,DR7,aa,520.331766951834,DR7,TRAIN/DR7/MTML0/SX75,0.8334,0.6206,k,n,i146038,M,MTML0,ae,426.696064078023,DR7,TRAIN/DR7/MTML0/SX435,1.8589,1.5925,k,n,i145924,M,MTML0,aa
t00000105963,TRAIN/DR6/MSAT1/SX353,0.1939,0.4825,i165116,k,n,MSAT1,M,DR6,aa,823.747323428879,DR7,TRAIN/DR7/MJFR0/SX75,0.9286,0.6725,k,n,i137166,M,MJFR0,ae,1201.28477710918,DR7,TRAIN/DR7/MJFR0/SX435,2.7287,2.2425,k,n,i137024,M,MJFR0,aa
t00000095760,TRAIN/DR4/MLJC0/SX55,0.8789,1.0684,i54456,k,m,MLJC0,M,DR4,aa,538.60732698487,DR2,TRAIN/DR2/FJKL0/SX392,1.1566,0.9347,k,m,i90972,F,FJKL0,ae,566.850227186542,DR2,TRAIN/DR2/FJKL0/SI932,2.4759,2.1825,k,m,i90917,F,FJKL0,aa
t00000075973,TEST/DR4/MBNS0/SX50,0.4934,0.7258,i7672,r,f,MBNS0,M,DR4,aa,450.839696421835,DR4,TRAIN/DR4/MARW0/SX286,2.3089,2.06,r,f,i56707,M,MARW0,ae,337.231199816019,DR4,TRAIN/DR4/MARW0/SI646,1.5825,1.3325,r,f,i56898,M,MARW0,aa
t00000000425,TEST/DR1/FDAC1/SX304,1.0802,1.53,i44329,t,k,FDAC1,F,DR1,aa,896.841159533926,DR6,TEST/DR6/FLNH0/SI584,0.7519,0.4804,t,k,i40196,F,FLNH0,ae,1236.09220090932,DR6,TEST/DR6/FLNH0/SI941,4.1225,3.7991,t,k,i40162,F,FLNH0,aa
t00000017157,TRAIN/DR2/MDWD0/SA1,0.6525,0.8525,i99043,d,r,MDWD0,M,DR2,aa,552.685477549101,DR7,TRAIN/DR7/FBLV0/SX338,2.2167,2.0341,d,r,i136059,F,FBLV0,ah,357.473055299875,DR7,TRAIN/DR7/FBLV0/SA1,0.9321,0.6971,d,r,i136018,F,FBLV0,aa
t00000098530,TRAIN/DR5/FSKP0/SX288,0.7425,1.0757,i124645,k,m,FSKP0,F,DR5,aa,848.2321091766,DR1,TEST/DR1/FELC0/SX306,1.5324,1.2825,k,m,i44051,F,FELC0,ah,787.861592072818,DR1,TEST/DR1/FELC0/SX36,1.2896,1.0025,k,m,i43806,F,FELC0,aa
t00000012734,TEST/DR4/FJMG0/SX101,3.4925,3.765,i3801,hh,l,FJMG0,F,DR4,aa,680.085992599838,DR7,TRAIN/DR7/MRMG0/SX360,2.8475,2.48,hh,l,i151280,M,MRMG0,ah,653.515796592777,DR7,TRAIN/DR7/MRMG0/SX270,0.6434,0.3968,hh,l,i151284,M,MRMG0,aa
t00000007711,TRAIN/DR2/MTAT1/SX419,2.1436,2.4912,i96192,w,tcl,MTAT1,M,DR2,aa,650.061163298568,DR7,TRAIN/DR7/MSAH1/SI2309,1.6332,1.5369,w,tcl,i146153,M,MSAH1,ah,688.502193296343,DR7,TRAIN/DR7/MSAH1/SX419,1.7856,1.5718,w,tcl,i146182,M,MSAH1,aa
t00000051162,TRAIN/DR6/FPAD0/SX446,0.1843,0.3672,i157507,t,m,FPAD0,F,DR6,aa,554.654665945547,DR2,TRAIN/DR2/MRJT0/SI1498,1.5931,1.3707,t,m,i94766,M,MRJT0,ah,756.535889895443,DR2,TRAIN/DR2/MRJT0/SX328,1.239,0.8511,t,m,i94988,M,MRJT0,aa
t00000100328,TRAIN/DR2/MDEM0/SA1,3.0858,3.2625,i100768,w,dx,MDEM0,M,DR2,aa,357.516971549326,DR3,TEST/DR3/FCMH0/SI2084,0.2675,0.135,w,dx,i11036,F,FCMH0,ah,435.251091368916,DR3,TEST/DR3/FCMH0/SA1,2.8025,2.6141,w,dx,i11118,F,FCMH0,aa
t00000043753,TRAIN/DR4/MRAB1/SX308,2.4483,2.7,i62304,r,s,MRAB1,M,DR4,aa,388.734447295723,DR7,TRAIN/DR7/MBTH0/SA1,1.7188,1.4712,r,s,i139787,M,MBTH0,iy,311.914036475694,DR7,TRAIN/DR7/MBTH0/SX302,1.7169,1.4606,r,s,i139814,M,MBTH0,aa
t00000049930,TEST/DR2/FJWB0/SX95,0.2611,0.4875,i18576,w,n,FJWB0,F,DR2,aa,452.376132998666,DR2,TRAIN/DR2/MKAH0/SX178,2.8632,2.6559,w,n,i104488,M,MKAH0,iy,355.818148009785,DR2,TRAIN/DR2/MKAH0/SX88,2.63,2.4752,w,n,i104571,M,MKAH0,aa
