CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
A,ewan_8,stimulus1_A,raw/ewan.wav,22.3965,23.01587,HADI,ewan,V,I,ɑ,10.8478066899872,I,V,raw/amelia_vowels.wav,amelia_vowels_15,38.4725,37.6934,æ,amelia,HAEDI,11.2910784776832,I,V,raw/amelia_vowels.wav,amelia_vowels_5,13.30968,12.5659,ɑ,amelia,HADI
B,ewan_2,stimulus2_B,raw/ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ,12.4509096842319,A,V,raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,10.939437399031,A,V,raw/amelia_vowels.wav,amelia_vowels_1,2.9625,2.19827,ɑ,amelia,HADAH
A,ewan_101,stimulus3_A,raw/ewan.wav,290.0925,290.7225,EETHEE,ewan,C,I,θ,10.9452006313056,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE,8.50808189583447,I,C,raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_71,stimulus4_A,raw/ewan.wav,210.7425,211.2825,EEKEE,ewan,C,I,k,9.36995452846283,I,C,raw/amelia_consonants.wav,amelia_consonants_14,37.21308,36.60264,t,amelia,EETEE,8.94944648578029,I,C,raw/amelia_consonants.wav,amelia_consonants_23,62.1525,61.4825,k,amelia,EEKEE
B,amelia_consonants_20,stimulus5_B,raw/amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,12.2177431533519,A,C,raw/ewan.wav,ewan_59,177.5625,177.0325,t,ewan,ATAH,10.0808408445777,A,C,raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_59,stimulus6_B,raw/ewan.wav,177.0325,177.5625,ATAH,ewan,C,A,t,12.2177431533519,A,C,raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,11.3545630419892,A,C,raw/amelia_consonants.wav,amelia_consonants_9,24.1025,23.47667,t,amelia,ATAH
A,amelia_consonants_14,stimulus7_A,raw/amelia_consonants.wav,36.60264,37.21308,EETEE,amelia,C,I,t,9.36995452846283,I,C,raw/ewan.wav,ewan_71,211.2825,210.7425,k,ewan,EEKEE,8.94739780661442,I,C,raw/ewan.wav,ewan_62,185.7725,185.2225,t,ewan,EETEE
A,ewan_56,stimulus8_A,raw/ewan.wav,168.7025,169.3025,EEPEE,ewan,C,I,p,12.0292812984254,I,C,raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,9.9461131381046,I,C,raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
B,amelia_consonants_3,stimulus9_B,raw/amelia_consonants.wav,7.31359,7.932510000000001,APAH,amelia,C,A,p,12.2027046052636,A,C,raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,10.7972105135754,A,C,raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
B,amelia_consonants_46,stimulus10_B,raw/amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,12.0292812984254,I,C,raw/ewan.wav,ewan_56,169.3025,168.7025,p,ewan,EEPEE,7.48461333335758,I,C,raw/ewan.wav,ewan_96,277.3325,276.7625,ʃ,ewan,EESHEE
